,name,date,mag,mag_psf,factor
209,HIP96718,2013may31,6.72,7.051,1.356438162909269
210,HIP97028,2012jun05,4.99,7.051,6.674212038584768
211,HIP97229,2013may30,4.99,7.051,6.674212038584768
212,HIP97509,2013may30,4.99,7.051,6.674212038584768
213,HIP97509,2014may21,4.99,7.051,6.674212038584768
214,HIP97640,2013may30,4.99,7.051,6.674212038584768
215,HIP97640,2014jul12,5.44,7.051,4.409608164506375
216,HIP99542,2012oct29,6.52,7.051,1.6307973610235948
217,HIP99542,2012dec05,6.52,7.051,1.6307973610235948
218,HIP99892,2011oct14,7.29,7.051,0.8024167763085848
219,HIP101070,2012aug28,4.81,7.051,7.877710195856803
220,HIP101614,2013may29,4.81,7.051,7.877710195856803
221,HIP101614,2014jul12,6.26,7.051,2.0720488977590046
222,HIP101800,2011oct15,5.613,7.051,3.7601052366849577
223,HIP101800,2013may29,5.613,7.051,3.7601052366849577
224,HIP101800,2014oct03,5.46,7.051,4.329123745028265
225,HIP102218,2013may31,6.89,7.051,1.1598451211901675
226,HIP102419,2012jul27,6.89,7.051,1.1598451211901675
227,HIP102655,2012oct29,6.04,7.051,2.5374646458649655
228,HIP102655,2013sep25,5.46,7.051,4.329123745028265
229,HIP102655,2014nov07,5.54,7.051,4.021610443342134
230,HIP102843,2012aug28,5.54,7.051,4.021610443342134
231,HIP102843,2012oct29,5.87,7.051,2.9675633580735297
232,HIP102880,2012aug29,5.87,7.051,2.9675633580735297
233,HIP104430,2012aug29,7.09,7.051,0.9647171518961679
234,HIP106783,2012jun05,7.09,7.051,0.9647171518961679
235,HIP106783,2012aug28,6.72,7.051,1.356438162909269
236,HIP107585,2011oct14,6.04,7.051,2.5374646458649655
237,HIP107596,2012aug29,6.76,7.051,1.3073744701631331
238,HIP107919,2011oct14,6.76,7.051,1.3073744701631331
239,HIP110739,2011oct15,5.3,7.051,5.016490567732232
240,HIP110785,2013jun22,5.3,7.051,5.016490567732232
241,HIP110786,2011oct14,5.3,7.051,5.016490567732232
242,HIP113195,2011oct14,6.651,7.051,1.4454397707459279
243,HIP113195,2014nov07,6.12,7.051,2.3572193636510073
244,HIP114224,2012aug28,6.99,7.051,1.0577913224995008
245,HIP114224,2013sep25,6.99,7.051,1.0577913224995008
246,HIP114224,2014oct03,6.99,7.051,1.0577913224995008
247,HIP115738,2012aug29,4.58,7.051,9.736435697988865
